condition,keep_fraction,seed,method,num_samples,relative_l2_mean,relative_l2_ci95_low,relative_l2_ci95_high,correlation_mean,correlation_ci95_low,correlation_ci95_high,mse_mean,mse_ci95_low,mse_ci95_high
periodic_theta89,0.5,20260802,Fourier-to-FNO,1000,0.5267145462632179,0.5209020263023674,0.5324149228982628,0.8456138578367423,0.8424594732528209,0.8487342867732799,0.02614911848743516,0.02580693041269585,0.026504061823458144
periodic_theta89,0.5,20260802,FNO-to-Fourier,1000,0.49885423290729525,0.4920696552425623,0.5064228157348931,0.8289282213867327,0.8227286876658038,0.8344952096031024,0.023966497222544285,0.023426945690912127,0.024508335221640722
pml_outside_theta45,0.5,20260802,Fourier inverse,1000,0.9134533280730247,0.9115309415087104,0.9153225511968135,0.42561918699953366,0.41888702032216457,0.4322131250804183,0.08442389012674976,0.0825025830433022,0.08639670232353286
pml_outside_theta45,0.5,20260802,Time reversal,1000,0.8240203057527542,0.8211925973355769,0.8270999119728804,0.6096283195022224,0.6031908584133426,0.6156880312775025,0.0679753273473226,0.06649843020297282,0.06939556744393291
pml_outside_theta45,0.5,20260802,Iterated time reversal,1000,0.5705391863584518,0.5639984226129949,0.5774595732040704,0.7696686219845937,0.763735917541583,0.7751804593241086,0.03106662450139582,0.030539097539804636,0.031596195126682554
pml_outside_theta45,0.5,20260802,Gradient descent (1/L),1000,0.6078403700590134,0.6019917409703136,0.6139258631557226,0.7414118755215459,0.7358133314218911,0.746954327625056,0.035569175323784875,0.0349384580016398,0.03619549853574348
pml_outside_theta45,0.5,20260802,FNO-only,1000,1.6633835750222206,1.6410685455411673,1.687325173817575,0.27508966568073234,0.268737166540966,0.28168242957437184,0.25330435276105573,0.25068746458291347,0.2560125644145931
pml_outside_theta45,0.5,20260802,Fourier-to-FNO,1000,0.7677528993487358,0.7612207878269255,0.774393357808888,0.5923762661248402,0.5839452263175863,0.6002943131464967,0.05752168545694538,0.056437996085523315,0.05859858123782717
pml_outside_theta45,0.5,20260802,FNO-to-Fourier,1000,0.7574626652300358,0.7489074616096915,0.7659706681780517,0.5719773939503826,0.5607831820203555,0.5830616067682236,0.055796733520105425,0.054686787635146276,0.056917664246507495
periodic_theta89,1.0,20260802,Fourier inverse,1000,0.6092604744136334,0.6038305392049254,0.6147567257836462,0.7444567453884945,0.7389414223421279,0.7502553440262671,0.03634290058897051,0.035648182294923676,0.03707307818177469
